Season,Age,Team,Lg,Pos,G,MP, ,FG_player Shooting %,2P_player Shooting %,3P_player Shooting %,eFG_player Shooting %,FT_player Shooting %,TS_player Shooting %,FTr_player Shooting %,3PAr_player Shooting %, ,FG_League Shooting %,2P_League Shooting %,3P_League Shooting %,eFG_League Shooting %,FT_League Shooting %,TS_League Shooting %,FTr_League Shooting %,3PAr_League Shooting %, ,FG+_League-Adjusted,2P+_League-Adjusted,3P+_League-Adjusted,eFG+_League-Adjusted,FT+_League-Adjusted,TS+_League-Adjusted,FTr+_League-Adjusted,3PAr+_League-Adjusted, ,FG Add,TS Add,Player_link
2016-17,23,OKC,NBA,SG,68,1055,,.393,.425,.381,.531,.898,.560,.144,.724,,.457,.503,.357,.514,.772,.552,.271,.316,,86,85,106,103,116,101,53,229,,11.7,5.5,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,75,1134,,.395,.443,.380,.540,.848,.567,.158,.759,,.460,.510,.362,.521,.767,.556,.252,.337,,86,87,105,104,111,102,63,225,,10.7,6.8,https://www.basketball-reference.com/players/a/abrinal01.html
2018-19,25,OKC,NBA,SG,31,588,,.357,.500,.323,.487,.923,.507,.083,.809,,.461,.519,.355,.524,.766,.560,.259,.359,,77,96,91,93,120,91,32,225,,-11.6,-17.1,https://www.basketball-reference.com/players/a/abrinal01.html
2005-06,23,DET,NBA,SG,5,35,,.250,.273,.200,.281,,.281,.000,.312,,.454,.478,.358,.490,.745,.536,.333,.202,,55,57,56,57,,53,,154,,-6.7,-8.1,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,TOT,NBA,SG,25,199,,.395,.411,.350,.441,.500,.448,.132,.263,,.459,.485,.367,.500,.771,.544,.306,.224,,86,85,95,88,65,82,43,117,,-9.0,-15.5,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,DET,NBA,SG,7,20,,.364,.571,.000,.364,.500,.379,.182,.364,,.459,.485,.367,.500,.771,.544,.306,.224,,79,118,,73,65,70,59,162,,-3.0,-3.9,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,LAC,NBA,SG,18,179,,.400,.388,.438,.454,.500,.460,.123,.246,,.459,.485,.367,.500,.771,.544,.306,.224,,87,80,119,91,65,84,40,110,,-6.0,-11.6,https://www.basketball-reference.com/players/a/ackeral01.html
2012-13,22,TOR,NBA,PF,29,342,,.560,.562,.500,.567,.816,.632,.507,.027,,.453,.483,.359,.496,.753,.535,.271,.243,,124,116,139,114,108,118,187,11,,10.5,17.9,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOT,NBA,SF,63,847,,.468,.492,.267,.482,.660,.520,.376,.106,,.454,.488,.360,.501,.756,.541,.284,.260,,103,101,74,96,87,96,132,41,,-5.3,-6.8,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOR,NBA,SF,7,61,,.429,.444,.400,.500,.625,.542,.571,.357,,.454,.488,.360,.501,.756,.541,.284,.260,,94,91,111,100,83,100,201,138,,-0.0,.0,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,SAC,NBA,SF,56,786,,.472,.496,.200,.480,.667,.518,.354,.079,,.454,.488,.360,.501,.756,.541,.284,.260,,104,102,56,96,88,96,125,30,,-5.3,-6.8,https://www.basketball-reference.com/players/a/acyqu01.html
2014-15,24,NYK,NBA,PF,68,1287,,.459,.494,.300,.486,.783,.532,.293,.181,,.449,.485,.350,.496,.750,.534,.273,.268,,102,102,86,98,104,100,107,68,,-6.3,-1.2,https://www.basketball-reference.com/players/a/acyqu01.html
2015-16,25,SAC,NBA,PF,59,876,,.556,.606,.388,.600,.735,.629,.318,.229,,.452,.491,.354,.502,.757,.541,.276,.285,,123,123,110,119,97,116,115,80,,41.9,43.0,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,TOT,NBA,PF,38,558,,.412,.412,.411,.521,.750,.565,.353,.529,,.457,.503,.357,.514,.772,.552,.271,.316,,90,82,115,101,97,102,130,167,,2.3,5.0,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,DAL,NBA,PF,6,48,,.294,.400,.143,.324,.667,.355,.176,.412,,.457,.503,.357,.514,.772,.552,.271,.316,,64,79,40,63,86,64,65,130,,-6.5,-7.2,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,BRK,NBA,PF,32,510,,.425,.414,.434,.542,.754,.587,.372,.542,,.457,.503,.357,.514,.772,.552,.271,.316,,93,82,121,106,98,106,138,172,,8.8,12.3,https://www.basketball-reference.com/players/a/acyqu01.html
2017-18,27,BRK,NBA,PF,70,1359,,.356,.384,.349,.496,.817,.525,.164,.800,,.460,.510,.362,.521,.767,.556,.252,.337,,77,75,97,95,106,94,65,237,,-18.5,-24.4,https://www.basketball-reference.com/players/a/acyqu01.html
2018-19,28,PHO,NBA,PF,10,123,,.222,.667,.133,.278,.700,.380,.556,.833,,.461,.519,.355,.524,.766,.560,.259,.359,,48,128,38,53,91,68,215,232,,-8.9,-8.1,https://www.basketball-reference.com/players/a/acyqu01.html
2006-07,22,NJN,NBA,SG,61,495,,.556,.560,.000,.556,.667,.577,.267,.007,,.458,.485,.358,.496,.752,.541,.327,.212,,121,115,,112,89,107,82,3,,16.0,10.7,https://www.basketball-reference.com/players/a/adamsha01.html
2008-09,24,TOR,NBA,SG,12,52,,.308,.308,,.308,.500,.352,.462,.000,,.459,.485,.367,.500,.771,.544,.306,.224,,67,63,,62,65,65,151,,,-5.0,-6.0,https://www.basketball-reference.com/players/a/adamsha01.html
2018-19,22,ATL,NBA,PG,34,428,,.345,.361,.338,.459,.778,.474,.082,.673,,.461,.519,.355,.524,.766,.560,.259,.359,,75,70,95,88,101,85,32,187,,-14.3,-19.5,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,30,248,,.407,.410,.400,.465,.609,.489,.267,.291,,.449,.485,.350,.496,.750,.534,.273,.268,,91,84,114,94,81,92,98,108,,-5.3,-8.7,https://www.basketball-reference.com/players/a/adamsjo01.html
2015-16,21,MEM,NBA,SG,2,15,,.333,.400,.000,.333,.600,.427,.833,.167,,.452,.491,.354,.502,.757,.541,.276,.285,,74,81,,66,79,79,302,59,,-2.0,-1.9,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,81,1197,,.503,.503,,.503,.581,.541,.735,.000,,.454,.488,.360,.501,.756,.541,.284,.260,,111,103,,100,77,100,259,,,.6,.1,https://www.basketball-reference.com/players/a/adamsst01.html
2014-15,21,OKC,NBA,C,70,1771,,.544,.547,.000,.544,.502,.549,.514,.005,,.449,.485,.350,.496,.750,.534,.273,.268,,121,113,,110,67,103,188,2,,38.3,14.4,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,80,2014,,.613,.613,,.613,.582,.621,.460,.000,,.452,.491,.354,.502,.757,.541,.276,.285,,136,125,,122,77,115,167,,,93.9,81.5,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,80,2389,,.571,.572,.000,.571,.611,.589,.392,.002,,.457,.503,.357,.514,.772,.552,.271,.316,,125,114,,111,79,107,145,,,75.1,56.5,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,76,2487,,.629,.631,.000,.629,.559,.630,.402,.003,,.460,.510,.362,.521,.767,.556,.252,.337,,137,124,,121,73,113,159,1,,153.8,124.1,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,80,2669,,.595,.596,.000,.595,.500,.591,.361,.003,,.461,.519,.355,.524,.766,.560,.259,.359,,129,115,,113,65,106,140,1,,113.8,58.8,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,63,1680,,.592,.594,.333,.593,.582,.604,.420,.006,,.460,.524,.358,.529,.773,.565,.260,.384,,129,113,93,112,75,107,162,2,,61.4,44.2,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,69,1368,,.512,.522,.000,.512,.721,.570,.526,.021,,.460,.510,.362,.521,.767,.556,.252,.337,,111,102,,98,94,102,209,6,,-6.4,11.2,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,MIA,NBA,C,82,1913,,.576,.588,.200,.579,.735,.623,.465,.031,,.461,.519,.355,.524,.766,.560,.259,.359,,125,113,56,110,96,111,180,9,,53.5,73.8,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,72,2417,,.557,.564,.143,.558,.691,.598,.483,.018,,.460,.524,.358,.529,.773,.565,.260,.384,,121,108,40,106,89,106,186,5,,46.5,63.9,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,CLE,NBA,SF,19,194,,.306,.385,.261,.389,1.000,.424,.111,.639,,.461,.519,.355,.524,.766,.560,.259,.359,,66,74,73,74,130,76,43,178,,-9.7,-10.3,https://www.basketball-reference.com/players/a/adelde01.html
2010-11,24,GSW,NBA,PF,23,196,,.426,.426,,.426,.579,.457,.352,.000,,.459,.487,.358,.498,.763,.541,.300,.222,,93,87,,85,76,84,117,,,-7.8,-10.5,https://www.basketball-reference.com/players/a/adrieje01.html
