Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2016-17,23,OKC,NBA,SG,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,,1.2,0.9,2.1,.096,,-1.3,-0.4,-1.6,0.1,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,75,1134,9.0,.567,.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,,1.3,1.0,2.2,.094,,-1.9,0.4,-1.5,0.1,https://www.basketball-reference.com/players/a/abrinal01.html
2018-19,25,OKC,NBA,SG,31,588,6.3,.507,.809,.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,,0.1,0.6,0.6,.053,,-3.7,0.4,-3.3,-0.2,https://www.basketball-reference.com/players/a/abrinal01.html
2005-06,23,DET,NBA,SG,5,35,-2.4,.281,.313,.000,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,,-0.2,0.0,-0.2,-0.230,,-11.0,-4.2,-15.3,-0.1,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,TOT,NBA,SG,25,199,10.4,.448,.263,.132,4.5,9.6,7.0,10.2,1.3,1.5,8.0,20.1,,-0.1,0.1,0.0,-0.011,,-1.8,-1.7,-3.6,-0.1,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,DET,NBA,SG,7,20,16.0,.379,.364,.182,0.0,12.0,5.9,9.1,5.5,3.9,0.0,28.3,,0.0,0.0,0.0,.009,,-0.9,4.7,3.8,0.0,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,LAC,NBA,SG,18,179,9.8,.460,.246,.123,5.0,9.3,7.1,10.3,0.9,1.2,9.3,19.2,,-0.1,0.0,0.0,-0.013,,-1.9,-2.5,-4.4,-0.1,https://www.basketball-reference.com/players/a/ackeral01.html
2012-13,22,TOR,NBA,PF,29,342,15.9,.632,.027,.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,,0.7,0.4,1.1,.157,,-1.0,1.0,0.1,0.2,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOT,NBA,SF,63,847,10.1,.520,.106,.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,,0.6,0.9,1.5,.086,,-2.5,0.8,-1.7,0.1,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOR,NBA,SF,7,61,17.2,.542,.357,.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,,0.1,0.1,0.2,.188,,1.2,3.7,5.0,0.1,https://www.basketball-reference.com/players/a/acyqu01.html
