Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2016-17,23,OKC,NBA,SG,68,1055,.393,20.6,,.276,.120,.047,.044,.065,.724,,.426,.488,.438,.333,.364,.381,,.600,.968,,.015,5,,.231,.404,,2,0,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,75,1134,.395,20.3,,.241,.127,.041,.027,.041,.759,,.443,.595,.250,.625,.083,.380,,.548,1.000,,.034,9,,.253,.375,,1,0,https://www.basketball-reference.com/players/a/abrinal01.html
2018-19,25,OKC,NBA,SG,31,588,.357,22.3,,.191,.102,.025,.019,.045,.809,,.500,.500,.500,.333,.571,.323,,.800,.951,,.006,1,,.205,.385,,2,0,https://www.basketball-reference.com/players/a/abrinal01.html
2005-06,23,DET,NBA,SG,5,35,.250,16.1,,.688,.188,.000,.313,.188,.313,,.273,.000,,.400,.333,.200,,.333,.000,,.000,0,,.200,.000,,0,0,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,TOT,NBA,SG,25,199,.395,14.7,,.737,.224,.066,.118,.329,.263,,.411,.294,.400,.556,.440,.350,,.478,.714,,.013,0,,.450,.222,,0,0,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,DET,NBA,SG,7,20,.364,17.8,,.636,.091,.091,.091,.364,.364,,.571,1.000,.000,.000,.750,.000,,.500,,,.000,0,,.500,.000,,0,0,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,LAC,NBA,SG,18,179,.400,14.1,,.754,.246,.062,.123,.323,.246,,.388,.250,.500,.625,.381,.438,,.474,.714,,.015,0,,.438,.286,,0,0,https://www.basketball-reference.com/players/a/ackeral01.html
2012-13,22,TOR,NBA,PF,29,342,.560,7.9,,.973,.573,.080,.053,.267,.027,,.562,.651,.500,.500,.400,.500,,.732,1.000,,.267,19,,.500,1.000,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOT,NBA,SF,63,847,.468,8.1,,.894,.461,.220,.050,.163,.106,,.492,.600,.387,.429,.348,.267,,.694,1.000,,.191,25,,.667,.300,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOR,NBA,SF,7,61,.429,14.1,,.643,.357,.071,.000,.214,.357,,.444,.600,1.000,,.000,.400,,.750,1.000,,.143,2,,.400,.500,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,SAC,NBA,SF,56,786,.472,7.5,,.921,.472,.236,.055,.157,.079,,.496,.600,.367,.429,.400,.200,,.690,1.000,,.197,23,,.800,.250,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2014-15,24,NYK,NBA,PF,68,1287,.459,12.8,,.819,.296,.094,.133,.296,.181,,.494,.673,.419,.409,.378,.300,,.724,1.000,,.106,33,,.383,.261,,1,0,https://www.basketball-reference.com/players/a/acyqu01.html
2015-16,25,SAC,NBA,PF,59,876,.556,9.7,,.771,.458,.121,.037,.154,.229,,.606,.735,.385,.500,.424,.388,,.710,.947,,.215,43,,.347,.529,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,TOT,NBA,PF,38,558,.412,16.2,,.471,.265,.065,.076,.059,.529,,.413,.489,.273,.308,.400,.411,,.727,.973,,.035,6,,.278,.360,,1,0,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,DAL,NBA,PF,6,48,.294,15.4,,.588,.235,.118,.059,.118,.412,,.400,.500,.500,1.000,.000,.143,,.750,1.000,,.118,2,,.286,.500,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,BRK,NBA,PF,32,510,.425,16.3,,.458,.268,.059,.078,.052,.542,,.414,.488,.222,.250,.500,.434,,.724,.972,,.026,4,,.277,.348,,1,0,https://www.basketball-reference.com/players/a/acyqu01.html
2017-18,27,BRK,NBA,PF,70,1359,.356,20.7,,.200,.115,.027,.025,.033,.800,,.384,.500,.000,.333,.333,.349,,.857,.990,,.036,9,,.305,.404,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2018-19,28,PHO,NBA,PF,10,123,.222,21.7,,.167,.111,.000,.056,.000,.833,,.667,1.000,,.000,,.133,,1.000,1.000,,.000,0,,.333,.200,,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2006-07,22,NJN,NBA,SG,61,495,.556,5.1,,.993,.681,.059,.074,.178,.007,,.560,.652,.000,.300,.500,.000,,.747,,,.111,15,,.000,,,0,0,https://www.basketball-reference.com/players/a/adamsha01.html
2008-09,24,TOR,NBA,SG,12,52,.308,7.8,,1.000,.462,.154,.154,.231,.000,,.308,.333,.000,.000,.667,,,.500,,,.077,1,,,,,0,0,https://www.basketball-reference.com/players/a/adamsha01.html
2018-19,22,ATL,NBA,PG,34,428,.345,20.2,,.327,.118,.082,.073,.055,.673,,.361,.538,.111,.250,.500,.338,,.231,.840,,.000,0,,.149,.182,,1,0,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,30,248,.407,13.1,,.709,.267,.174,.081,.186,.291,,.410,.565,.267,.714,.188,.400,,.600,.900,,.000,0,,.360,.222,,0,0,https://www.basketball-reference.com/players/a/adamsjo01.html
2015-16,21,MEM,NBA,SG,2,15,.333,10.8,,.833,.333,.000,.500,.000,.167,,.400,.500,,.333,,.000,,.500,,,.000,0,,.000,,,0,0,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,81,1197,.503,3.2,,1.000,.659,.292,.043,.005,.000,,.503,.615,.296,.250,.000,,,.613,,,.162,26,,,,,0,0,https://www.basketball-reference.com/players/a/adamsst01.html
2014-15,21,OKC,NBA,C,70,1771,.544,3.3,,.995,.599,.356,.038,.003,.005,,.547,.644,.408,.333,.000,.000,,.650,,,.213,72,,.000,,,1,0,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,80,2014,.613,2.2,,1.000,.721,.258,.016,.005,.000,,.613,.655,.500,.571,.500,,,.762,,,.277,101,,,,,0,0,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,80,2389,.571,3.7,,.998,.557,.388,.046,.005,.002,,.572,.655,.488,.367,.000,.000,,.668,,,.198,112,,.000,,,1,0,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,76,2487,.629,2.6,,.997,.708,.233,.052,.004,.003,,.631,.688,.494,.514,.000,.000,,.690,,,.242,150,,.000,,,2,0,https://www.basketball-reference.com/players/a/adamsst01.html
