Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link, ,Trp Dbl
2016-17,23,OKC,NBA,SG,5,0,80,8,23,.348,5,17,.294,3,6,.500,.457,3,4,.750,2,7,9,4,0,0,0,8,24,https://www.basketball-reference.com/players/a/abrinal01.html,,
2017-18,24,OKC,NBA,SG,6,0,110,8,20,.400,6,13,.462,2,7,.286,.550,2,2,1.000,3,13,16,2,5,2,1,11,24,https://www.basketball-reference.com/players/a/abrinal01.html,,
2006-07,22,NJN,NBA,SG,6,0,9,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,0,0,3,2,https://www.basketball-reference.com/players/a/adamsha01.html,,
2019-20,23,POR,NBA,PG,3,0,21,3,9,.333,0,4,.000,3,5,.600,.333,0,0,,1,2,3,2,1,0,0,1,6,https://www.basketball-reference.com/players/a/adamsja01.html,,
2014-15,20,MEM,NBA,SG,4,0,10,2,3,.667,1,1,1.000,1,2,.500,.833,2,4,.500,0,1,1,0,1,0,0,0,7,https://www.basketball-reference.com/players/a/adamsjo01.html,,
2013-14,20,OKC,NBA,C,18,0,331,31,45,.689,0,0,,31,45,.689,.689,8,23,.348,22,52,74,4,1,24,10,48,70,https://www.basketball-reference.com/players/a/adamsst01.html,,
2015-16,22,OKC,NBA,C,18,18,553,68,111,.613,0,1,.000,68,110,.618,.613,46,73,.630,62,109,171,13,9,14,17,55,182,https://www.basketball-reference.com/players/a/adamsst01.html,,
2016-17,23,OKC,NBA,C,5,5,157,18,28,.643,0,0,,18,28,.643,.643,4,11,.364,17,17,34,7,6,9,4,14,40,https://www.basketball-reference.com/players/a/adamsst01.html,,
2017-18,24,OKC,NBA,C,6,6,200,27,46,.587,0,0,,27,46,.587,.587,9,13,.692,19,26,45,9,4,4,4,15,63,https://www.basketball-reference.com/players/a/adamsst01.html,,
2018-19,25,OKC,NBA,C,5,5,159,28,42,.667,0,1,.000,28,41,.683,.667,3,8,.375,12,24,36,7,5,5,9,13,59,https://www.basketball-reference.com/players/a/adamsst01.html,,
2019-20,26,OKC,NBA,C,7,7,210,31,52,.596,0,1,.000,31,51,.608,.596,9,20,.450,34,47,81,9,4,2,16,10,71,https://www.basketball-reference.com/players/a/adamsst01.html,,
2017-18,20,MIA,NBA,C,5,0,77,7,15,.467,0,1,.000,7,14,.500,.467,3,14,.214,9,11,20,0,0,2,2,8,17,https://www.basketball-reference.com/players/a/adebaba01.html,,
2019-20,22,MIA,NBA,PF,19,19,687,124,220,.564,0,1,.000,124,219,.566,.564,90,115,.783,47,149,196,84,19,16,47,58,338,https://www.basketball-reference.com/players/a/adebaba01.html,,
2007-08,22,DET,NBA,SG,12,0,84,7,18,.389,0,2,.000,7,16,.438,.389,0,0,,0,5,5,6,4,0,1,5,14,https://www.basketball-reference.com/players/a/afflaar01.html,,
2008-09,23,DET,NBA,SG,4,0,66,10,21,.476,2,10,.200,8,11,.727,.524,3,5,.600,1,2,3,1,0,2,3,9,25,https://www.basketball-reference.com/players/a/afflaar01.html,,
2009-10,24,DEN,NBA,SG,6,6,120,20,32,.625,6,14,.429,14,18,.778,.719,9,11,.818,1,11,12,7,1,2,4,21,55,https://www.basketball-reference.com/players/a/afflaar01.html,,
2010-11,25,DEN,NBA,SG,3,3,85,12,34,.353,3,12,.250,9,22,.409,.397,7,8,.875,0,9,9,7,0,0,3,10,34,https://www.basketball-reference.com/players/a/afflaar01.html,,
2011-12,26,DEN,NBA,SG,7,7,229,30,74,.405,4,20,.200,26,54,.481,.432,12,15,.800,5,20,25,19,5,2,9,14,76,https://www.basketball-reference.com/players/a/afflaar01.html,,
2014-15,29,POR,NBA,SG,3,3,60,2,12,.167,1,4,.250,1,8,.125,.208,0,1,.000,0,7,7,2,0,0,3,6,5,https://www.basketball-reference.com/players/a/afflaar01.html,,
2006-07,22,DAL,NBA,SG,3,0,24,5,9,.556,2,3,.667,3,6,.500,.667,3,6,.500,1,2,3,0,0,0,0,3,15,https://www.basketball-reference.com/players/a/agerma01.html,,
2011-12,27,UTA,NBA,PG,3,0,8,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,0,0,2,0,0,0,0,5,https://www.basketball-reference.com/players/a/ahearbl01.html,,
2014-15,26,NOP,NBA,C,3,0,10,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,1,1,1,1,0,0,2,8,https://www.basketball-reference.com/players/a/ajincal01.html,,
2011-12,23,OKC,NBA,C,5,0,25,4,9,.444,0,0,,4,9,.444,.444,2,4,.500,5,8,13,0,0,0,0,3,10,https://www.basketball-reference.com/players/a/aldrico01.html,,
2015-16,27,LAC,NBA,C,6,0,77,10,15,.667,0,0,,10,15,.667,.667,3,6,.500,8,22,30,3,6,3,2,11,23,https://www.basketball-reference.com/players/a/aldrico01.html,,
