Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2016-17,23,OKC,NBA,SG,5,80,7.0,.485,.739,.174,2.6,10.0,6.1,7.1,0.0,0.0,0.0,13.3,,0.1,0.0,0.1,.033,,-2.8,-1.9,-4.7,-0.1,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,6,110,9.5,.575,.650,.100,2.9,12.3,7.7,2.6,2.2,1.7,4.6,8.7,,0.1,0.1,0.2,.107,,-1.3,1.9,0.5,0.1,https://www.basketball-reference.com/players/a/abrinal01.html
2006-07,22,NJN,NBA,SG,6,9,0.5,.500,.000,.000,0.0,13.0,6.6,0.0,0.0,0.0,0.0,10.7,,0.0,0.0,0.0,.063,,-10.3,0.1,-10.2,0.0,https://www.basketball-reference.com/players/a/adamsha01.html
2019-20,23,POR,NBA,PG,3,21,7.7,.333,.444,.000,5.0,10.1,7.5,14.9,2.2,0.0,0.0,17.9,,0.0,0.0,0.0,-0.051,,-3.6,-2.6,-6.2,0.0,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,4,10,31.4,.735,.333,1.333,0.0,11.3,5.5,0.0,5.2,0.0,0.0,21.7,,0.1,0.0,0.1,.327,,11.7,7.1,18.8,0.1,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,18,331,11.0,.635,.000,.511,8.0,16.9,12.7,1.9,0.2,5.4,15.4,9.0,,0.3,0.4,0.7,.099,,-1.7,1.5,-0.2,0.2,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,18,553,16.8,.636,.009,.658,12.7,21.6,17.2,3.5,0.8,2.0,10.6,12.6,,1.5,0.6,2.1,.179,,1.5,0.3,1.8,0.5,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,5,157,15.4,.609,.000,.393,11.1,12.4,11.7,6.5,1.9,5.5,10.9,10.0,,0.3,0.1,0.4,.116,,-0.5,0.9,0.5,0.1,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,6,200,16.0,.609,.000,.283,10.2,13.6,11.9,7.0,1.0,1.8,7.2,12.2,,0.5,0.2,0.7,.158,,1.6,-0.3,1.3,0.2,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,5,159,15.7,.648,.024,.190,8.1,16.6,12.3,7.2,1.5,2.6,16.5,14.6,,0.2,0.1,0.3,.103,,-0.1,1.9,1.8,0.2,https://www.basketball-reference.com/players/a/adamsst01.html
