Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player_link
2016-17,23,OKC,NBA,SG,5,0,80,4.9,14.0,.348,3.0,10.3,.294,1.8,3.7,.500,1.8,2.4,.750,1.2,4.3,5.5,2.4,0.0,0.0,0.0,4.9,14.6,,114,121,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,6,0,110,3.6,8.9,.400,2.7,5.8,.462,0.9,3.1,.286,0.9,0.9,1.000,1.3,5.8,7.1,0.9,2.2,0.9,0.4,4.9,10.7,,121,108,https://www.basketball-reference.com/players/a/abrinal01.html
2006-07,22,NJN,NBA,SG,6,0,9,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,18.0,12.0,,98,103,https://www.basketball-reference.com/players/a/adamsha01.html
2019-20,23,POR,NBA,PG,3,0,21,6.7,20.2,.333,0.0,9.0,.000,6.7,11.2,.600,0.0,0.0,,2.2,4.5,6.7,4.5,2.2,0.0,0.0,2.2,13.5,,87,116,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,4,0,10,10.4,15.7,.667,5.2,5.2,1.000,5.2,10.4,.500,10.4,20.9,.500,0.0,5.2,5.2,0.0,5.2,0.0,0.0,0.0,36.5,,142,100,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,18,0,331,4.9,7.1,.689,0.0,0.0,,4.9,7.1,.689,1.3,3.6,.348,3.5,8.2,11.6,0.6,0.2,3.8,1.6,7.5,11.0,,118,108,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,18,18,553,6.2,10.1,.613,0.0,0.1,.000,6.2,10.0,.618,4.2,6.7,.630,5.7,9.9,15.6,1.2,0.8,1.3,1.6,5.0,16.6,,131,106,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,5,5,157,5.6,8.7,.643,0.0,0.0,,5.6,8.7,.643,1.2,3.4,.364,5.3,5.3,10.5,2.2,1.9,2.8,1.2,4.3,12.4,,127,113,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,6,6,200,6.6,11.3,.587,0.0,0.0,,6.6,11.3,.587,2.2,3.2,.692,4.7,6.4,11.0,2.2,1.0,1.0,1.0,3.7,15.5,,131,110,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,5,5,159,8.5,12.7,.667,0.0,0.3,.000,8.5,12.4,.683,0.9,2.4,.375,3.6,7.3,10.9,2.1,1.5,1.5,2.7,3.9,17.8,,115,110,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,7,7,210,7.1,11.9,.596,0.0,0.2,.000,7.1,11.6,.608,2.1,4.6,.450,7.8,10.7,18.5,2.1,0.9,0.5,3.7,2.3,16.2,,111,109,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,5,0,77,4.3,9.3,.467,0.0,0.6,.000,4.3,8.7,.500,1.9,8.7,.214,5.6,6.8,12.4,0.0,0.0,1.2,1.2,5.0,10.6,,91,117,https://www.basketball-reference.com/players/a/adebaba01.html
