Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player_links,BBrefID
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,"June 24, 1968",Duke,https://www.basketball-reference.com/players/a/abdelal01.html,abdelal01
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,"April 7, 1946",Iowa State,https://www.basketball-reference.com/players/a/abdulza01.html,abdulza01
Kareem Abdul-Jabbar*,1970,1989,C,7-2,225.0,"April 16, 1947",UCLA,https://www.basketball-reference.com/players/a/abdulka01.html,abdulka01
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,"March 9, 1969",LSU,https://www.basketball-reference.com/players/a/abdulma02.html,abdulma02
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,"November 3, 1974","Michigan, San Jose State",https://www.basketball-reference.com/players/a/abdulta01.html,abdulta01
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,"December 11, 1976",California,https://www.basketball-reference.com/players/a/abdursh01.html,abdursh01
Tom Abernethy,1977,1981,F,6-7,220.0,"May 6, 1954",Indiana,https://www.basketball-reference.com/players/a/abernto01.html,abernto01
Forest Able,1957,1957,G,6-3,180.0,"July 27, 1932",Western Kentucky,https://www.basketball-reference.com/players/a/ablefo01.html,ablefo01
John Abramovic,1947,1948,F,6-3,195.0,"February 9, 1919",Salem International University,https://www.basketball-reference.com/players/a/abramjo01.html,abramjo01
Álex Abrines,2017,2019,G-F,6-6,200.0,"August 1, 1993",,https://www.basketball-reference.com/players/a/abrinal01.html,abrinal01
Alex Acker,2006,2009,G,6-5,185.0,"January 21, 1983",Pepperdine,https://www.basketball-reference.com/players/a/ackeral01.html,ackeral01
Don Ackerman,1954,1954,G,6-0,183.0,"September 4, 1930",Long Island University,https://www.basketball-reference.com/players/a/ackerdo01.html,ackerdo01
Mark Acres,1988,1993,F-C,6-11,220.0,"November 15, 1962",Oral Roberts,https://www.basketball-reference.com/players/a/acresma01.html,acresma01
Bud Acton,1968,1968,F,6-6,210.0,"January 11, 1942",Hillsdale College,https://www.basketball-reference.com/players/a/actonbu01.html,actonbu01
Quincy Acy,2013,2019,F-C,6-7,240.0,"October 6, 1990",Baylor,https://www.basketball-reference.com/players/a/acyqu01.html,acyqu01
Alvan Adams,1976,1988,C-F,6-9,210.0,"July 19, 1954",Oklahoma,https://www.basketball-reference.com/players/a/adamsal01.html,adamsal01
Don Adams,1971,1977,F,6-6,210.0,"November 27, 1947",Northwestern,https://www.basketball-reference.com/players/a/adamsdo01.html,adamsdo01
George Adams,1973,1975,F-G,6-5,210.0,"May 15, 1949",Gardner-Webb University,https://www.basketball-reference.com/players/a/adamsge01.html,adamsge01
Hassan Adams,2007,2009,G,6-4,220.0,"June 20, 1984",Arizona,https://www.basketball-reference.com/players/a/adamsha01.html,adamsha01
Jaylen Adams,2019,2019,G,6-2,190.0,"May 4, 1996",St. Bonaventure,https://www.basketball-reference.com/players/a/adamsja01.html,adamsja01
Jordan Adams,2015,2016,G,6-5,209.0,"July 8, 1994",UCLA,https://www.basketball-reference.com/players/a/adamsjo01.html,adamsjo01
Michael Adams,1986,1996,G,5-10,162.0,"January 19, 1963",Boston College,https://www.basketball-reference.com/players/a/adamsmi01.html,adamsmi01
Steven Adams,2014,2020,C,6-11,265.0,"July 20, 1993",Pitt,https://www.basketball-reference.com/players/a/adamsst01.html,adamsst01
Rafael Addison,1987,1997,F-G,6-7,215.0,"July 22, 1964",Syracuse,https://www.basketball-reference.com/players/a/addisra01.html,addisra01
Bam Adebayo,2018,2020,C-F,6-9,255.0,"July 18, 1997",Kentucky,https://www.basketball-reference.com/players/a/adebaba01.html,adebaba01
Deng Adel,2019,2019,F,6-7,200.0,"February 1, 1997",Louisville,https://www.basketball-reference.com/players/a/adelde01.html,adelde01
Rick Adelman,1969,1975,G,6-1,175.0,"June 16, 1946",Loyola Marymount,https://www.basketball-reference.com/players/a/adelmri01.html,adelmri01
Jeff Adrien,2011,2015,F,6-7,245.0,"February 10, 1986",UConn,https://www.basketball-reference.com/players/a/adrieje01.html,adrieje01
Arron Afflalo,2008,2018,G-F,6-5,210.0,"October 15, 1985",UCLA,https://www.basketball-reference.com/players/a/afflaar01.html,afflaar01
Maurice Ager,2007,2011,G,6-5,202.0,"February 9, 1984",Michigan State,https://www.basketball-reference.com/players/a/agerma01.html,agerma01
Mark Aguirre,1982,1994,F-G,6-6,232.0,"December 10, 1959",DePaul,https://www.basketball-reference.com/players/a/aguirma01.html,aguirma01
Blake Ahearn,2008,2012,G,6-2,190.0,"May 27, 1984",Missouri State University,https://www.basketball-reference.com/players/a/ahearbl01.html,ahearbl01
Danny Ainge,1982,1995,G,6-4,175.0,"March 17, 1959",BYU,https://www.basketball-reference.com/players/a/aingeda01.html,aingeda01
