Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2019-20,22,MIA,NBA,PF,1,0,11:40,4,5,.800,0,0,,0,0,,0,2,1,0,0,1,0,8,https://www.basketball-reference.com/players/a/adebaba01.html
2011-12,26,POR,NBA,PF,1,0,9:48,2,5,.400,0,0,,0,0,,0,1,1,0,0,0,0,4,https://www.basketball-reference.com/players/a/aldrila01.html
2012-13,27,POR,NBA,PF,1,0,11:27,0,2,.000,0,0,,0,0,,0,4,1,0,2,1,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,1,0,13:17,2,9,.222,0,0,,0,0,,3,5,0,0,0,0,0,4,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,1,1,18:08,7,11,.636,4,4,1.000,0,0,,1,2,0,0,0,1,0,18,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,1,0,14:13,2,8,.250,0,1,.000,0,0,,1,4,1,1,0,0,0,4,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,1,0,4:28,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,1,0,10:47,1,2,.500,0,0,,0,0,,0,4,1,0,0,0,0,2,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,22,MIL,NBA,SF,1,1,22:53,14,17,.824,0,1,.000,2,2,1.000,3,6,1,3,1,0,0,30,https://www.basketball-reference.com/players/a/antetgi01.html
2017-18,23,MIL,NBA,PF,1,1,26:34,6,14,.429,0,2,.000,4,6,.667,4,7,2,0,0,2,2,16,https://www.basketball-reference.com/players/a/antetgi01.html
2018-19,24,MIL,NBA,PF,1,1,27:09,17,23,.739,2,6,.333,2,2,1.000,4,11,5,1,0,3,2,38,https://www.basketball-reference.com/players/a/antetgi01.html
2019-20,25,MIL,NBA,PF,1,1,30:45,12,21,.571,1,4,.250,0,2,.000,4,11,4,1,3,1,4,25,https://www.basketball-reference.com/players/a/antetgi01.html
2006-07,22,DEN,NBA,SF,1,0,25:10,10,15,.667,0,0,,0,0,,3,9,1,1,0,0,2,20,https://www.basketball-reference.com/players/a/anthoca01.html
2007-08,23,DEN,NBA,SF,1,1,21:38,8,17,.471,0,0,,2,3,.667,5,7,1,0,0,2,0,18,https://www.basketball-reference.com/players/a/anthoca01.html
2009-10,25,DEN,NBA,SF,1,1,28:59,13,22,.591,1,4,.250,0,1,.000,4,10,2,0,0,2,0,27,https://www.basketball-reference.com/players/a/anthoca01.html
2010-11,26,DEN,NBA,SF,1,1,22:44,4,10,.400,0,1,.000,0,0,,3,7,2,1,1,2,3,8,https://www.basketball-reference.com/players/a/anthoca01.html
2011-12,27,NYK,NBA,SF,1,1,30:20,7,15,.467,0,3,.000,5,7,.714,4,9,0,2,0,0,0,19,https://www.basketball-reference.com/players/a/anthoca01.html
2012-13,28,NYK,NBA,PF,1,1,30:30,8,14,.571,3,7,.429,7,9,.778,5,12,3,0,0,1,0,26,https://www.basketball-reference.com/players/a/anthoca01.html
2013-14,29,NYK,NBA,PF,1,1,30:06,10,18,.556,8,13,.615,2,2,1.000,3,5,2,0,0,0,3,30,https://www.basketball-reference.com/players/a/anthoca01.html
2014-15,30,NYK,NBA,SF,1,1,30:16,6,20,.300,2,13,.154,0,0,,3,7,0,1,1,1,2,14,https://www.basketball-reference.com/players/a/anthoca01.html
2015-16,31,NYK,NBA,SF,1,1,22:56,6,11,.545,1,5,.200,0,0,,3,6,0,0,1,2,2,13,https://www.basketball-reference.com/players/a/anthoca01.html
2016-17,32,NYK,NBA,SF,1,0,19:00,4,8,.500,2,6,.333,0,0,,0,3,0,0,0,0,0,10,https://www.basketball-reference.com/players/a/anthoca01.html
2017-18,24,WAS,NBA,SG,1,0,16:51,5,10,.500,4,8,.500,0,0,,0,0,0,1,0,1,1,14,https://www.basketball-reference.com/players/b/bealbr01.html
2018-19,25,WAS,NBA,SG,1,0,17:42,4,11,.364,3,10,.300,0,0,,1,1,3,1,0,0,0,11,https://www.basketball-reference.com/players/b/bealbr01.html
2019-20,23,PHO,NBA,SG,1,0,19:00,3,8,.375,0,4,.000,0,0,,2,4,0,0,1,4,1,6,https://www.basketball-reference.com/players/b/bookede01.html
2005-06,21,TOR,NBA,C,1,0,16:35,3,7,.429,0,0,,2,3,.667,2,8,2,0,0,1,1,8,https://www.basketball-reference.com/players/b/boshch01.html
2006-07,22,TOR,NBA,C,1,1,22:29,5,7,.714,0,0,,1,2,.500,3,7,1,0,0,0,0,11,https://www.basketball-reference.com/players/b/boshch01.html
2007-08,23,TOR,NBA,C,1,1,21:32,7,15,.467,0,0,,0,2,.000,2,7,1,0,0,1,1,14,https://www.basketball-reference.com/players/b/boshch01.html
2008-09,24,TOR,NBA,C,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/b/boshch01.html
2009-10,25,TOR,NBA,C,1,0,29:08,9,16,.563,0,0,,5,7,.714,2,10,1,2,0,3,0,23,https://www.basketball-reference.com/players/b/boshch01.html
2010-11,26,MIA,NBA,PF,1,0,20:56,7,10,.700,0,1,.000,0,1,.000,2,5,2,0,1,3,0,14,https://www.basketball-reference.com/players/b/boshch01.html
2011-12,27,MIA,NBA,PF,1,0,20:08,3,9,.333,1,2,.500,0,0,,1,2,1,2,1,1,2,7,https://www.basketball-reference.com/players/b/boshch01.html
2012-13,28,MIA,NBA,C,1,1,23:22,3,9,.333,0,3,.000,0,0,,0,2,1,1,0,3,3,6,https://www.basketball-reference.com/players/b/boshch01.html
2013-14,29,MIA,NBA,C,1,0,10:07,2,3,.667,1,2,.500,0,0,,0,2,0,2,0,1,1,5,https://www.basketball-reference.com/players/b/boshch01.html
2014-15,30,MIA,NBA,C,1,0,10:55,4,6,.667,2,4,.500,0,0,,1,3,1,2,0,1,0,10,https://www.basketball-reference.com/players/b/boshch01.html
2015-16,31,MIA,NBA,PF,,0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/b/boshch01.html
