Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2016-17,23,OKC,NBA,SG,68,6,1055,4.6,11.6,.393,3.2,8.4,.381,1.4,3.2,.426,1.5,1.7,.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,75,8,1134,3.7,9.2,.395,2.7,7.0,.380,1.0,2.2,.443,1.2,1.5,.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2,https://www.basketball-reference.com/players/a/abrinal01.html
2018-19,25,OKC,NBA,SG,31,2,588,3.4,9.6,.357,2.5,7.8,.323,0.9,1.8,.500,0.7,0.8,.923,0.3,2.6,2.9,1.2,1.0,0.4,0.9,3.2,10.1,https://www.basketball-reference.com/players/a/abrinal01.html
2005-06,23,DET,NBA,SG,5,0,35,4.1,16.5,.250,1.0,5.1,.200,3.1,11.3,.273,0.0,0.0,,1.0,4.1,5.1,4.1,1.0,0.0,4.1,4.1,9.3,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,TOT,NBA,SG,25,0,199,5.4,13.7,.395,1.3,3.6,.350,4.2,10.1,.411,0.9,1.8,.500,1.4,2.9,4.3,2.2,0.9,0.7,1.3,1.6,13.0,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,DET,NBA,SG,7,0,20,7.2,19.8,.364,0.0,7.2,.000,7.2,12.6,.571,1.8,3.6,.500,0.0,3.6,3.6,1.8,3.6,1.8,0.0,0.0,16.2,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,LAC,NBA,SG,18,0,179,5.2,13.1,.400,1.4,3.2,.438,3.8,9.9,.388,0.8,1.6,.500,1.6,2.8,4.4,2.2,0.6,0.6,1.4,1.8,12.7,https://www.basketball-reference.com/players/a/ackeral01.html
2012-13,22,TOR,NBA,PF,29,0,342,4.4,7.9,.560,0.1,0.2,.500,4.3,7.7,.562,3.3,4.0,.816,3.2,4.9,8.1,1.2,1.4,1.6,1.8,5.6,12.2,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOT,NBA,SF,63,0,847,2.8,6.0,.468,0.2,0.6,.267,2.6,5.4,.492,1.5,2.3,.660,3.1,6.1,9.2,1.2,1.0,1.1,1.3,5.2,7.3,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOR,NBA,SF,7,0,61,3.5,8.3,.429,1.2,3.0,.400,2.4,5.3,.444,3.0,4.7,.625,3.0,5.9,8.9,2.4,2.4,1.8,1.2,4.7,11.2,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,SAC,NBA,SF,56,0,786,2.7,5.8,.472,0.1,0.5,.200,2.7,5.4,.496,1.4,2.1,.667,3.1,6.1,9.2,1.1,0.9,1.1,1.3,5.2,7.0,https://www.basketball-reference.com/players/a/acyqu01.html
2014-15,24,NYK,NBA,PF,68,22,1287,4.3,9.3,.459,0.5,1.7,.300,3.7,7.6,.494,2.1,2.7,.784,2.2,6.2,8.4,1.9,0.8,0.6,1.7,4.1,11.1,https://www.basketball-reference.com/players/a/acyqu01.html
2015-16,25,SAC,NBA,PF,59,29,876,4.9,8.8,.556,0.8,2.0,.388,4.1,6.8,.606,2.1,2.8,.735,2.7,5.1,7.7,1.1,1.2,1.0,1.1,4.2,12.6,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,TOT,NBA,PF,38,1,558,4.5,11.0,.412,2.4,5.8,.411,2.1,5.2,.413,2.9,3.9,.750,1.3,6.1,7.4,1.2,0.9,1.0,1.4,4.3,14.3,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,DAL,NBA,PF,6,0,48,3.7,12.7,.294,0.7,5.2,.143,3.0,7.5,.400,1.5,2.3,.667,1.5,4.5,6.0,0.0,0.0,0.0,1.5,6.8,9.7,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,BRK,NBA,PF,32,1,510,4.6,10.8,.425,2.5,5.9,.434,2.0,4.9,.414,3.0,4.0,.754,1.3,6.3,7.6,1.3,1.0,1.1,1.3,4.1,14.8,https://www.basketball-reference.com/players/a/acyqu01.html
2017-18,27,BRK,NBA,PF,70,8,1359,3.4,9.7,.356,2.7,7.7,.349,0.7,1.9,.384,1.3,1.6,.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9,https://www.basketball-reference.com/players/a/acyqu01.html
2018-19,28,PHO,NBA,PF,10,0,123,1.2,5.3,.222,0.6,4.4,.133,0.6,0.9,.667,2.0,2.9,.700,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7.0,5.0,https://www.basketball-reference.com/players/a/acyqu01.html
2006-07,22,NJN,NBA,SG,61,8,495,5.5,9.8,.556,0.0,0.1,.000,5.5,9.7,.560,1.7,2.6,.667,2.5,3.1,5.6,0.9,1.2,0.3,1.6,3.4,12.7,https://www.basketball-reference.com/players/a/adamsha01.html
2008-09,24,TOR,NBA,SG,12,0,52,2.8,9.0,.308,0.0,0.0,,2.8,9.0,.308,2.1,4.2,.500,0.7,4.2,4.8,0.7,0.7,0.7,2.8,2.8,7.6,https://www.basketball-reference.com/players/a/adamsha01.html
2018-19,22,ATL,NBA,PG,34,1,428,3.2,9.3,.345,2.1,6.2,.338,1.1,3.0,.361,0.6,0.8,.778,0.9,4.1,5.0,5.5,1.2,0.4,2.4,3.8,9.1,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,30,0,248,5.1,12.5,.407,1.5,3.6,.400,3.6,8.9,.410,2.0,3.3,.609,1.3,2.8,4.1,2.3,2.3,1.0,2.0,3.5,13.6,https://www.basketball-reference.com/players/a/adamsjo01.html
2015-16,21,MEM,NBA,SG,2,0,15,4.8,14.4,.333,0.0,2.4,.000,4.8,12.0,.400,7.2,12.0,.600,0.0,4.8,4.8,7.2,7.2,0.0,4.8,4.8,16.8,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,81,20,1197,2.8,5.6,.503,0.0,0.0,,2.8,5.6,.503,2.4,4.1,.581,4.3,5.7,10.0,1.3,1.2,1.7,2.1,6.1,8.0,https://www.basketball-reference.com/players/a/adamsst01.html
2014-15,21,OKC,NBA,C,70,67,1771,4.4,8.1,.544,0.0,0.0,.000,4.4,8.1,.547,2.1,4.2,.502,4.0,6.6,10.6,1.3,0.8,1.7,2.0,4.5,10.9,https://www.basketball-reference.com/players/a/adamsst01.html
