Season,Age,Tm,Lg,Pos,G,MP,PG%_Position Estimate,SG%_Position Estimate,SF%_Position Estimate,PF%_Position Estimate,C%_Position Estimate,OnCourt_+/- Per 100 Poss.,On-Off_+/- Per 100 Poss.,BadPass_Turnovers,LostBall_Turnovers,Shoot_Fouls Committed,Off._Fouls Committed,Shoot_Fouls Drawn,Off._Fouls Drawn,PGA_Misc.,And1_Misc.,Blkd_Misc.,Player_link
2016-17,23,OKC,NBA,SG,68,1055,,79%,21%,,,-1.1,-2.2,17,7,62,4,15,10,94,4,8,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,75,1134,5%,90%,5%,,,+0.1,-4.4,14,7,66,1,15,3,66,4,9,https://www.basketball-reference.com/players/a/abrinal01.html
2018-19,25,OKC,NBA,SG,31,588,,63%,37%,,,+1.6,-1.7,4,6,33,2,4,10,52,0,6,https://www.basketball-reference.com/players/a/abrinal01.html
2005-06,23,DET,NBA,SG,5,35,63%,37%,,,,-43.4,-52.0,3,1,3,0,0,0,9,0,2,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,TOT,NBA,SG,25,199,15%,75%,10%,,,-0.3,+5.2,1,5,5,1,5,1,29,0,3,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,DET,NBA,SG,7,20,,100%,,,,+44.0,+44.7,0,0,0,0,1,1,3,0,0,https://www.basketball-reference.com/players/a/ackeral01.html
2008-09,26,LAC,NBA,SG,18,179,17%,72%,11%,,,-5.3,+4.9,1,5,5,1,4,0,26,0,3,https://www.basketball-reference.com/players/a/ackeral01.html
2012-13,22,TOR,NBA,PF,29,342,,,,88%,12%,+13.9,+16.9,4,5,22,6,14,0,29,2,5,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOT,NBA,SF,63,847,,16%,77%,7%,,-6.7,-7.7,10,7,70,8,24,2,64,5,10,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,TOR,NBA,SF,7,61,,,52%,48%,,-14.8,-18.8,0,1,3,1,3,0,11,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2013-14,23,SAC,NBA,SF,56,786,,17%,79%,3%,,-6.0,-3.6,10,6,67,7,21,2,53,5,10,https://www.basketball-reference.com/players/a/acyqu01.html
2014-15,24,NYK,NBA,PF,68,1287,,,13%,81%,7%,-8.4,+2.7,25,22,75,9,40,7,158,10,10,https://www.basketball-reference.com/players/a/acyqu01.html
2015-16,25,SAC,NBA,PF,59,876,,,,92%,8%,-7.1,-5.5,8,6,51,5,27,5,62,9,6,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,TOT,NBA,PF,38,558,,,2%,81%,17%,-3.7,+1.2,5,7,25,6,24,5,42,7,8,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,DAL,NBA,PF,6,48,,,25%,75%,,-29.0,-26.0,2,0,1,0,2,1,0,1,0,https://www.basketball-reference.com/players/a/acyqu01.html
2016-17,26,BRK,NBA,PF,32,510,,,,82%,18%,-1.6,+5.5,3,7,24,6,22,4,42,6,8,https://www.basketball-reference.com/players/a/acyqu01.html
2017-18,27,BRK,NBA,PF,70,1359,,,,59%,42%,-2.8,+1.8,21,13,63,15,20,9,145,1,13,https://www.basketball-reference.com/players/a/acyqu01.html
2018-19,28,PHO,NBA,PF,10,123,,,,33%,67%,+1.5,+10.8,1,1,12,1,2,6,21,0,0,https://www.basketball-reference.com/players/a/acyqu01.html
2006-07,22,NJN,NBA,SG,61,495,,73%,26%,1%,,+0.6,+1.3,7,8,21,2,16,4,31,2,11,https://www.basketball-reference.com/players/a/adamsha01.html
2008-09,24,TOR,NBA,SG,12,52,,35%,65%,,,-15.0,-12.2,2,1,3,0,3,1,2,0,4,https://www.basketball-reference.com/players/a/adamsha01.html
2018-19,22,ATL,NBA,PG,34,428,97%,3%,,,,-4.9,+1.1,19,7,24,2,3,3,164,1,7,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,30,248,35%,60%,6%,,,+3.5,+0.1,4,5,13,2,9,2,33,2,8,https://www.basketball-reference.com/players/a/adamsjo01.html
2015-16,21,MEM,NBA,SG,2,15,,60%,40%,,,+9.3,+11.7,0,2,0,0,2,0,6,1,0,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,81,1197,,,,1%,99%,+3.4,-4.9,13,26,68,29,51,2,97,5,13,https://www.basketball-reference.com/players/a/adamsst01.html
2014-15,21,OKC,NBA,C,70,1771,,,,,100%,+0.9,-2.0,25,30,84,30,83,2,156,22,27,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,80,2014,,,,,100%,+11.3,+8.2,24,22,107,23,83,7,144,20,31,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,80,2389,,,,,100%,+3.5,+7.6,37,57,75,32,117,7,217,28,43,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,76,2487,,,,,100%,+5.8,+6.8,26,34,75,41,112,4,213,32,47,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,80,2669,,,,,100%,+6.2,+9.9,44,41,73,31,110,13,297,20,50,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,63,1680,,,,,100%,+4.5,+5.3,33,27,62,20,87,5,336,17,32,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,69,1368,,,,4%,96%,+0.5,-0.7,16,24,62,18,81,10,260,19,29,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,MIA,NBA,C,82,1913,,,,1%,99%,+0.7,+1.6,35,35,91,33,98,8,458,30,31,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,72,2417,,,,57%,44%,+4.9,+6.1,94,53,99,32,174,7,928,42,60,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,CLE,NBA,SF,19,194,,5%,47%,47%,,-8.0,+2.2,2,3,9,0,2,4,12,0,1,https://www.basketball-reference.com/players/a/adelde01.html
2010-11,24,GSW,NBA,PF,23,196,,3%,7%,76%,15%,-0.4,+2.4,3,2,16,1,8,2,22,3,14,https://www.basketball-reference.com/players/a/adrieje01.html
2011-12,25,HOU,NBA,PF,8,63,,,,100%,,-12.6,-13.2,2,0,3,0,5,1,2,0,2,https://www.basketball-reference.com/players/a/adrieje01.html
2012-13,26,CHA,NBA,PF,52,713,,,1%,96%,3%,-7.1,+3.6,9,6,40,7,41,4,80,5,17,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,TOT,NBA,PF,53,961,,,5%,94%,1%,-4.0,+0.6,13,11,49,6,51,7,82,14,27,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,CHA,NBA,PF,25,256,,,20%,80%,,-0.8,-0.7,1,2,16,3,8,4,15,4,3,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,MIL,NBA,PF,28,705,,,,99%,1%,-5.3,+4.4,12,9,33,3,43,3,67,10,24,https://www.basketball-reference.com/players/a/adrieje01.html
2014-15,28,MIN,NBA,PF,17,215,,,,49%,52%,-4.2,+5.7,2,1,16,4,16,2,31,4,9,https://www.basketball-reference.com/players/a/adrieje01.html
2007-08,22,DET,NBA,SG,75,970,,95%,5%,,,+8.7,+0.2,10,8,32,6,33,2,113,7,31,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,74,1234,,55%,45%,,,+0.1,+0.8,14,10,77,3,25,1,95,7,14,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,82,2221,,92%,7%,,,+3.6,-1.5,20,19,121,11,47,9,297,12,50,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,69,2324,1%,88%,11%,,,+4.0,-2.7,25,19,79,8,63,5,385,12,39,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,62,2086,2%,71%,26%,1%,,+1.1,-6.2,24,24,67,18,86,6,357,17,62,https://www.basketball-reference.com/players/a/afflaar01.html
2012-13,27,ORL,NBA,SF,64,2307,1%,48%,49%,3%,,-7.8,-0.1,45,50,67,20,93,5,474,23,59,https://www.basketball-reference.com/players/a/afflaar01.html
2013-14,28,ORL,NBA,SG,73,2552,,49%,51%,1%,,-7.6,-5.0,53,42,51,20,132,14,571,31,59,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,TOT,NBA,SG,78,2502,,88%,12%,,,-0.8,-1.4,44,35,73,18,65,8,303,17,63,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,DEN,NBA,SG,53,1750,,91%,9%,,,-2.9,+1.7,32,23,46,12,49,6,232,14,47,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,25,752,,82%,19%,,,+4.2,-0.1,12,12,27,6,16,2,71,3,16,https://www.basketball-reference.com/players/a/afflaar01.html
2015-16,30,NYK,NBA,SG,71,2371,1%,81%,18%,,,-3.6,-1.9,27,25,51,13,67,4,337,23,47,https://www.basketball-reference.com/players/a/afflaar01.html
2016-17,31,SAC,NBA,SG,61,1580,4%,66%,30%,,,-7.5,-5.9,18,10,49,8,30,3,185,7,28,https://www.basketball-reference.com/players/a/afflaar01.html
2017-18,32,ORL,NBA,SG,53,682,5%,77%,18%,,,-6.3,-1.6,10,3,31,4,11,2,76,0,8,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,32,214,,28%,71%,1%,,-15.2,-24.7,6,4,11,4,12,1,15,1,7,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,TOT,NBA,SG,26,165,,55%,35%,10%,,-11.8,-11.7,2,1,9,3,6,3,17,2,7,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,DAL,NBA,SG,12,77,,68%,31%,1%,,-8.7,-14.2,1,0,5,2,2,0,8,0,3,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,NJN,NBA,SG,14,88,,44%,39%,18%,,-14.4,-8.9,1,1,4,1,4,3,9,2,4,https://www.basketball-reference.com/players/a/agerma01.html
2008-09,24,NJN,NBA,SG,20,97,71%,28%,2%,,,-5.6,-2.9,3,0,8,1,4,2,7,0,4,https://www.basketball-reference.com/players/a/agerma01.html
2010-11,26,MIN,NBA,SG,4,29,83%,17%,,,,-12.6,-5.6,1,1,1,2,0,1,2,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,MIA,NBA,PG,12,177,57%,43%,,,,-23.9,-15.1,11,5,9,0,8,2,43,2,3,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,24,SAS,NBA,PG,3,19,100%,,,,,+18.6,+14.6,0,1,3,0,0,0,5,0,1,https://www.basketball-reference.com/players/a/ahearbl01.html
2011-12,27,UTA,NBA,PG,4,30,100%,,,,,-19.7,-20.5,4,1,2,0,0,0,2,0,0,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,20,CHA,NBA,PF,31,182,,,,72%,28%,+1.2,+2.7,4,2,14,3,8,4,7,0,5,https://www.basketball-reference.com/players/a/ajincal01.html
2009-10,21,CHA,NBA,C,6,30,,,,,100%,+10.6,+9.1,0,0,2,1,1,2,0,1,1,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOT,NBA,C,34,340,,,,,100%,0.0,+1.1,5,4,35,5,10,1,23,2,5,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,DAL,NBA,C,10,75,,,,,100%,-7.2,-12.2,1,0,5,0,2,1,5,1,2,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOR,NBA,C,24,265,,,,,100%,+1.9,+9.4,4,4,30,5,8,0,18,1,3,https://www.basketball-reference.com/players/a/ajincal01.html
2013-14,25,NOP,NBA,C,56,951,,,,,100%,-5.6,-4.0,16,18,86,19,31,5,88,7,16,https://www.basketball-reference.com/players/a/ajincal01.html
2014-15,26,NOP,NBA,C,68,957,,,,,100%,-0.1,-1.9,13,29,70,15,44,0,100,7,17,https://www.basketball-reference.com/players/a/ajincal01.html
2015-16,27,NOP,NBA,C,59,861,,,,,100%,-3.3,+0.7,13,21,56,13,28,7,77,6,12,https://www.basketball-reference.com/players/a/ajincal01.html
2016-17,28,NOP,NBA,C,39,584,,,,,100%,-5.0,-3.6,7,8,44,8,21,0,27,7,14,https://www.basketball-reference.com/players/a/ajincal01.html
2012-13,26,DAL,NBA,PG,3,9,69%,31%,,,,-31.3,-30.6,0,0,0,0,0,0,2,0,0,https://www.basketball-reference.com/players/a/akognjo01.html
2018-19,25,DEN,NBA,SG,7,22,,73%,27%,,,+9.7,+6.0,0,1,1,1,1,0,14,0,1,https://www.basketball-reference.com/players/a/akoonde01.html
2010-11,22,TOR,NBA,C,12,59,,,,15%,85%,-17.5,-10.8,0,2,5,0,1,0,4,0,3,https://www.basketball-reference.com/players/a/alabiso01.html
2011-12,23,TOR,NBA,C,14,122,,,,,100%,+1.7,+5.7,3,0,6,1,4,0,7,0,4,https://www.basketball-reference.com/players/a/alabiso01.html
2014-15,23,PHI,NBA,PF,41,540,,,,37%,63%,-9.7,-0.2,5,7,58,4,11,5,69,1,10,https://www.basketball-reference.com/players/a/aldemfu01.html
2010-11,22,OKC,NBA,C,18,142,,,,7%,93%,+2.9,-1.3,2,1,21,2,2,0,10,0,2,https://www.basketball-reference.com/players/a/aldrico01.html
2011-12,23,OKC,NBA,C,26,173,,,,,100%,-6.9,-14.4,3,5,13,0,4,1,6,0,2,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,TOT,NBA,C,45,388,,,,,100%,+1.5,+2.5,8,6,28,6,7,0,22,2,8,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,HOU,NBA,C,30,213,,,,,100%,-5.4,-9.6,5,3,15,5,4,0,16,1,3,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,SAC,NBA,C,15,175,,,,,100%,+10.0,+16.1,3,3,13,1,3,0,6,1,5,https://www.basketball-reference.com/players/a/aldrico01.html
2013-14,25,NYK,NBA,C,46,330,,,,,100%,-1.9,-0.9,3,6,24,6,12,1,33,2,4,https://www.basketball-reference.com/players/a/aldrico01.html
2014-15,26,NYK,NBA,C,61,976,,,,52%,48%,-15.7,-7.3,33,9,74,10,29,4,164,7,15,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,60,800,,,,3%,97%,+0.3,-5.0,20,16,79,19,39,2,125,5,18,https://www.basketball-reference.com/players/a/aldrico01.html
2016-17,28,MIN,NBA,C,62,531,,,,26%,74%,-1.6,-0.6,0,6,35,7,10,2,59,3,7,https://www.basketball-reference.com/players/a/aldrico01.html
2017-18,29,MIN,NBA,C,21,49,,,,,100%,-2.0,-4.6,0,0,2,1,2,0,7,0,1,https://www.basketball-reference.com/players/a/aldrico01.html
2006-07,21,POR,NBA,C,63,1392,,,,1%,99%,-1.8,+4.9,10,9,107,13,54,9,59,13,22,https://www.basketball-reference.com/players/a/aldrila01.html
2007-08,22,POR,NBA,PF,76,2649,,,,73%,27%,-0.3,+2.9,22,46,123,37,144,13,294,29,46,https://www.basketball-reference.com/players/a/aldrila01.html
2008-09,23,POR,NBA,PF,81,3004,,,,82%,18%,+8.8,+10.2,27,42,113,34,156,3,398,33,51,https://www.basketball-reference.com/players/a/aldrila01.html
2009-10,24,POR,NBA,PF,78,2922,,,,88%,12%,+4.9,+3.6,31,27,129,30,144,12,370,38,42,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,81,3211,,,,51%,50%,+4.5,+15.0,35,64,139,19,196,11,411,46,54,https://www.basketball-reference.com/players/a/aldrila01.html
2011-12,26,POR,NBA,PF,55,1994,,,,68%,33%,+3.5,+12.4,22,52,88,21,125,6,340,30,28,https://www.basketball-reference.com/players/a/aldrila01.html
2012-13,27,POR,NBA,PF,74,2790,,,,84%,16%,-0.8,+9.4,38,54,112,30,165,10,474,38,35,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,69,2498,,,,89%,11%,+7.2,+8.9,33,39,80,28,153,1,446,37,41,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,71,2512,,,,91%,9%,+5.9,+4.6,33,55,70,20,160,3,308,35,37,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,74,2261,,,,54%,46%,+11.6,+0.1,34,32,91,12,144,5,261,27,37,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,72,2335,,,,69%,31%,+5.8,-5.0,33,34,94,15,110,4,345,17,32,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,75,2509,,,,38%,62%,+5.5,+6.7,34,35,95,18,178,3,373,51,44,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,81,2687,,,,5%,95%,+1.5,-1.8,28,55,102,39,183,5,459,49,45,https://www.basketball-reference.com/players/a/aldrila01.html
2019-20,34,SAS,NBA,C,53,1754,,,,6%,94%,-3.8,-5.3,13,20,70,29,83,1,309,23,20,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,20,POR,NBA,PF,8,36,,,,100%,,-17.0,-17.9,0,1,1,0,0,0,0,0,1,https://www.basketball-reference.com/players/a/alexacl01.html
2008-09,22,MIL,NBA,SF,59,716,,4%,60%,35%,1%,-3.3,-2.5,25,13,60,7,38,11,90,6,20,https://www.basketball-reference.com/players/a/alexajo01.html
2009-10,23,CHI,NBA,SF,8,29,,,86%,14%,,-18.9,-17.5,0,0,5,0,0,0,4,0,0,https://www.basketball-reference.com/players/a/alexajo01.html
2019-20,23,MIA,NBA,C,2,13,,,,90%,10%,-12.9,-15.9,1,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/alexaky01.html
2019-20,21,NOP,NBA,SG,47,591,3%,49%,45%,3%,,-4.2,-3.4,38,8,33,3,19,15,210,3,20,https://www.basketball-reference.com/players/a/alexani01.html
2018-19,21,CHI,NBA,SG,10,120,,11%,85%,4%,,-7.1,+1.5,1,4,5,0,6,0,31,2,4,https://www.basketball-reference.com/players/a/alkinra01.html
2018-19,23,UTA,NBA,SG,38,416,38%,57%,5%,,,-11.8,-19.2,12,5,25,5,20,4,58,3,6,https://www.basketball-reference.com/players/a/allengr01.html
2019-20,24,MEM,NBA,SG,38,718,3%,74%,23%,,,-5.7,-6.3,19,8,34,1,19,10,127,4,9,https://www.basketball-reference.com/players/a/allengr01.html
2017-18,19,BRK,NBA,C,72,1441,,,,2%,98%,-4.1,-0.3,28,22,90,23,69,1,122,11,39,https://www.basketball-reference.com/players/a/allenja01.html
2018-19,20,BRK,NBA,C,80,2096,,,,,100%,-2.5,-5.0,38,26,112,26,125,11,283,22,48,https://www.basketball-reference.com/players/a/allenja01.html
2019-20,21,BRK,NBA,C,70,1852,,,,,100%,+0.9,+3.2,20,17,94,26,113,7,268,31,44,https://www.basketball-reference.com/players/a/allenja01.html
2017-18,25,BOS,NBA,PG,18,107,69%,32%,,,,-5.6,-9.5,5,1,7,3,3,1,27,1,1,https://www.basketball-reference.com/players/a/allenka01.html
2018-19,26,NYK,NBA,PG,19,416,71%,29%,1%,,,-3.6,+6.3,13,6,24,3,22,7,187,1,6,https://www.basketball-reference.com/players/a/allenka01.html
2019-20,27,NYK,NBA,PG,10,117,83%,15%,2%,,,-10.5,-4.3,2,2,2,1,2,1,51,1,2,https://www.basketball-reference.com/players/a/allenka01.html
2011-12,22,PHI,NBA,PF,41,624,,,,64%,36%,+6.3,+1.9,11,2,47,3,7,2,72,2,10,https://www.basketball-reference.com/players/a/allenla01.html
2012-13,23,PHI,NBA,C,79,1669,,,,28%,72%,-2.8,+1.4,16,18,105,18,27,4,159,4,20,https://www.basketball-reference.com/players/a/allenla01.html
2013-14,24,TOT,NBA,PF,65,1072,,,,60%,40%,-8.8,-6.5,20,9,74,13,16,2,168,2,11,https://www.basketball-reference.com/players/a/allenla01.html
2013-14,24,PHI,NBA,PF,51,960,,,1%,67%,33%,-9.1,+2.1,19,8,67,12,15,1,152,2,9,https://www.basketball-reference.com/players/a/allenla01.html
2013-14,24,IND,NBA,PF,14,112,,,,,100%,-6.5,-11.6,1,1,7,1,1,1,16,0,2,https://www.basketball-reference.com/players/a/allenla01.html
2014-15,25,IND,NBA,C,63,1070,,,,32%,68%,+4.5,+6.1,18,9,58,8,17,2,169,4,10,https://www.basketball-reference.com/players/a/allenla01.html
2015-16,26,IND,NBA,PF,79,1599,,,1%,89%,11%,+6.3,+7.3,39,11,92,11,30,3,183,6,22,https://www.basketball-reference.com/players/a/allenla01.html
2016-17,27,IND,NBA,PF,61,871,,,,84%,16%,-5.9,-7.3,18,7,50,2,10,0,135,3,13,https://www.basketball-reference.com/players/a/allenla01.html
2004-05,23,BOS,NBA,SG,77,1262,4%,93%,4%,,,+7.0,+8.8,31,25,77,13,68,,143,11,31,https://www.basketball-reference.com/players/a/allento01.html
2005-06,24,BOS,NBA,PG,51,978,21%,74%,5%,,,-2.4,-1.0,26,25,57,7,66,6,149,18,27,https://www.basketball-reference.com/players/a/allento01.html
2006-07,25,BOS,NBA,SG,33,805,,79%,20%,1%,,-2.1,+2.3,25,19,37,14,61,4,132,19,29,https://www.basketball-reference.com/players/a/allento01.html
2007-08,26,BOS,NBA,SG,75,1373,5%,89%,6%,,,+9.8,-2.7,34,40,74,16,79,8,266,13,32,https://www.basketball-reference.com/players/a/allento01.html
2008-09,27,BOS,NBA,SG,46,887,,81%,19%,,,+6.7,-2.2,26,18,37,21,59,5,147,23,29,https://www.basketball-reference.com/players/a/allento01.html
2009-10,28,BOS,NBA,SG,54,889,9%,83%,9%,,,+1.4,-3.5,29,19,42,9,58,9,155,13,19,https://www.basketball-reference.com/players/a/allento01.html
2010-11,29,MEM,NBA,SG,72,1494,19%,81%,,,,+4.0,+2.6,34,28,70,12,85,8,219,17,36,https://www.basketball-reference.com/players/a/allento01.html
2011-12,30,MEM,NBA,SG,58,1525,8%,92%,,,,+6.6,+8.3,40,33,60,11,77,6,167,16,49,https://www.basketball-reference.com/players/a/allento01.html
2012-13,31,MEM,NBA,SG,79,2109,1%,89%,10%,,,+7.5,+5.9,39,31,90,9,84,6,217,18,64,https://www.basketball-reference.com/players/a/allento01.html
2013-14,32,MEM,NBA,SG,55,1278,23%,74%,3%,,,+5.3,+4.7,43,26,41,10,59,5,202,15,35,https://www.basketball-reference.com/players/a/allento01.html
2014-15,33,MEM,NBA,SG,63,1648,7%,92%,1%,,,+10.0,+11.4,34,33,61,10,55,7,186,14,52,https://www.basketball-reference.com/players/a/allento01.html
2015-16,34,MEM,NBA,SG,64,1620,6%,93%,2%,,,-0.6,+3.0,34,25,67,8,63,4,151,14,59,https://www.basketball-reference.com/players/a/allento01.html
2016-17,35,MEM,NBA,SG,71,1914,2%,77%,21%,,,+1.6,+1.7,49,30,78,6,58,7,214,12,73,https://www.basketball-reference.com/players/a/allento01.html
2017-18,36,NOP,NBA,SF,22,273,,18%,73%,9%,,+3.0,+1.3,10,2,22,4,11,3,20,1,11,https://www.basketball-reference.com/players/a/allento01.html
2007-08,26,CLE,NBA,C,3,10,,,,,100%,-91.3,-91.3,0,0,0,0,1,0,0,0,0,https://www.basketball-reference.com/players/a/allrela01.html
2007-08,22,UTA,NBA,SG,9,39,,95%,5%,,,-14.2,-21.9,1,1,1,0,2,1,7,0,2,https://www.basketball-reference.com/players/a/almonmo01.html
2008-09,23,UTA,NBA,SG,25,255,,81%,17%,2%,,-7.4,-10.9,5,5,19,3,13,0,17,4,7,https://www.basketball-reference.com/players/a/almonmo01.html
2011-12,26,WAS,NBA,SG,4,67,,92%,8%,,,+27.2,+34.0,0,0,1,1,2,0,4,1,0,https://www.basketball-reference.com/players/a/almonmo01.html
