Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2016-17,23,OKC,NBA,SG,5,0,80,3.6,10.4,.348,2.3,7.7,.294,1.4,2.7,.500,1.4,1.8,.750,0.9,3.2,4.1,1.8,0.0,0.0,0.0,3.6,10.8,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,6,0,110,2.6,6.5,.400,2.0,4.3,.462,0.7,2.3,.286,0.7,0.7,1.000,1.0,4.3,5.2,0.7,1.6,0.7,0.3,3.6,7.9,https://www.basketball-reference.com/players/a/abrinal01.html
2006-07,22,NJN,NBA,SG,6,0,9,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,https://www.basketball-reference.com/players/a/adamsha01.html
2019-20,23,POR,NBA,PG,3,0,21,5.1,15.4,.333,0.0,6.9,.000,5.1,8.6,.600,0.0,0.0,,1.7,3.4,5.1,3.4,1.7,0.0,0.0,1.7,10.3,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,4,0,10,7.2,10.8,.667,3.6,3.6,1.000,3.6,7.2,.500,7.2,14.4,.500,0.0,3.6,3.6,0.0,3.6,0.0,0.0,0.0,25.2,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,18,0,331,3.4,4.9,.689,0.0,0.0,,3.4,4.9,.689,0.9,2.5,.348,2.4,5.7,8.0,0.4,0.1,2.6,1.1,5.2,7.6,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,18,18,553,4.4,7.2,.613,0.0,0.1,.000,4.4,7.2,.618,3.0,4.8,.630,4.0,7.1,11.1,0.8,0.6,0.9,1.1,3.6,11.8,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,5,5,157,4.1,6.4,.643,0.0,0.0,,4.1,6.4,.643,0.9,2.5,.364,3.9,3.9,7.8,1.6,1.4,2.1,0.9,3.2,9.2,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,6,6,200,4.9,8.3,.587,0.0,0.0,,4.9,8.3,.587,1.6,2.3,.692,3.4,4.7,8.1,1.6,0.7,0.7,0.7,2.7,11.3,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,5,5,159,6.3,9.5,.667,0.0,0.2,.000,6.3,9.3,.683,0.7,1.8,.375,2.7,5.4,8.2,1.6,1.1,1.1,2.0,2.9,13.4,https://www.basketball-reference.com/players/a/adamsst01.html
