Season,Age,Tm,Lg,Pos,G,MP,PG%_Position Estimate,SG%_Position Estimate,SF%_Position Estimate,PF%_Position Estimate,C%_Position Estimate,OnCourt_+/- Per 100 Poss.,On-Off_+/- Per 100 Poss.,BadPass_Turnovers,LostBall_Turnovers,Shoot_Fouls Committed,Off._Fouls Committed,Shoot_Fouls Drawn,Off._Fouls Drawn,PGA_Misc.,And1_Misc.,Blkd_Misc.,Player_link
2016-17,23,OKC,NBA,SG,5,80,,73%,27%,,,-28.1,-29.0,0,0,6,0,0,2,9,0,1,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,6,110,3%,94%,3%,,,+8.4,+21.6,1,0,7,0,0,2,6,0,2,https://www.basketball-reference.com/players/a/abrinal01.html
2006-07,22,NJN,NBA,SG,6,9,4%,85%,12%,,,-70.6,-73.1,0,0,3,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/adamsha01.html
2019-20,23,POR,NBA,PG,3,21,100%,,,,,+48.3,+65.2,0,0,1,0,0,1,5,0,1,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,4,10,20%,42%,38%,,,+46.4,+47.5,0,0,0,0,1,0,0,0,0,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,18,331,,,,,100%,-6.0,-7.3,4,3,19,3,10,0,11,4,2,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,18,553,,,,,100%,+3.7,-4.2,2,5,20,8,24,3,34,4,15,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,5,157,,,,,100%,+5.0,+40.7,1,2,10,0,3,0,18,1,3,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,6,200,,,,,100%,-4.0,+3.3,2,2,7,0,3,1,23,0,7,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,5,159,,,,,100%,-11.4,-14.2,3,1,7,4,4,0,20,2,5,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,7,210,,,,,100%,-13.1,-14.5,6,6,3,3,9,0,22,4,4,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,5,77,,,,,100%,-11.3,-1.7,0,0,2,1,7,2,0,0,1,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,19,687,,,,6%,94%,+4.5,+8.0,19,10,31,11,43,3,210,8,18,https://www.basketball-reference.com/players/a/adebaba01.html
2007-08,22,DET,NBA,SG,12,84,3%,72%,25%,,,-8.5,-12.7,0,1,2,0,0,1,15,0,1,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,4,66,,57%,43%,,,-4.1,+25.7,2,0,5,0,2,0,2,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,6,120,2%,95%,3%,,,-1.1,+1.2,1,0,10,0,4,0,17,1,0,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,3,85,,83%,17%,,,-10.4,-7.7,2,0,5,1,2,0,16,0,7,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,7,229,,80%,20%,,,-0.1,-1.1,2,5,10,0,4,0,44,0,5,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,3,60,,71%,29%,,,-37.9,-37.4,1,1,1,1,1,0,5,1,2,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,3,24,,65%,35%,,,-7.0,+0.5,0,0,1,0,1,0,0,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2011-12,27,UTA,NBA,PG,3,8,100%,,,,,+34.6,+54.8,0,0,0,0,0,0,4,0,0,https://www.basketball-reference.com/players/a/ahearbl01.html
2014-15,26,NOP,NBA,C,3,10,,,,,100%,-34.5,-28.2,0,0,1,0,0,0,2,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2011-12,23,OKC,NBA,C,5,25,,,,,100%,-22.3,-26.8,0,0,1,0,2,0,0,0,2,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,6,77,,,,1%,100%,-1.4,-1.9,1,0,4,1,2,1,8,1,0,https://www.basketball-reference.com/players/a/aldrico01.html
2008-09,23,POR,NBA,PF,6,237,,,,87%,13%,-4.6,+8.8,1,5,7,4,9,2,19,2,3,https://www.basketball-reference.com/players/a/aldrila01.html
