Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2016-17,23,OKC,NBA,SG,5,80,.348,20.2,,.261,.217,.000,.000,.043,.739,,.500,.400,,,1.000,.294,,.667,1.000,,.043,0,,.176,.667,,1,0,https://www.basketball-reference.com/players/a/abrinal01.html
2017-18,24,OKC,NBA,SG,6,110,.400,19.1,,.350,.150,.050,.000,.150,.650,,.286,.333,.000,,.333,.462,,.000,.833,,.000,0,,.308,.750,,0,0,https://www.basketball-reference.com/players/a/abrinal01.html
2006-07,22,NJN,NBA,SG,6,9,.500,8.0,,1.000,.500,.000,.000,.500,.000,,.500,1.000,,,.000,,,1.000,,,.500,1,,,,,0,0,https://www.basketball-reference.com/players/a/adamsha01.html
2019-20,23,POR,NBA,PG,3,21,.333,13.1,,.556,.333,.222,.000,.000,.444,,.600,1.000,.000,,,.000,,.333,,,.000,0,,.000,,,0,0,https://www.basketball-reference.com/players/a/adamsja01.html
2014-15,20,MEM,NBA,SG,4,10,.667,20.3,,.667,.000,.000,.000,.667,.333,,.500,,,,.500,1.000,,.000,1.000,,.000,0,,1.000,1.000,,0,0,https://www.basketball-reference.com/players/a/adamsjo01.html
2013-14,20,OKC,NBA,C,18,331,.689,2.9,,1.000,.756,.156,.089,.000,.000,,.689,.765,.429,.500,,,,.742,,,.400,16,,,,,0,0,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,18,553,.613,2.8,,.991,.757,.216,.018,.000,.009,,.618,.679,.417,.500,,.000,,.735,,,.279,29,,.000,,,1,0,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,5,157,.643,3.7,,1.000,.500,.393,.107,.000,.000,,.643,.786,.545,.333,,,,.611,,,.179,5,,,,,0,0,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,6,200,.587,3.1,,1.000,.587,.413,.000,.000,.000,,.587,.667,.474,,,,,.815,,,.261,12,,,,,0,0,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,5,159,.667,5.1,,.976,.452,.500,.024,.000,.024,,.683,.842,.524,1.000,,.000,,.893,,,.214,7,,.000,,,1,0,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,7,210,.596,2.9,,.981,.731,.250,.000,.000,.019,,.608,.711,.308,,,.000,,.452,,,.135,6,,1.000,.000,,0,0,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,5,77,.467,4.6,,.933,.800,.133,.000,.000,.067,,.500,.417,1.000,,,.000,,.714,,,.267,4,,.000,,,1,0,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,19,687,.564,6.6,,.995,.427,.305,.182,.082,.005,,.566,.691,.507,.425,.444,.000,,.742,,,.218,44,,.000,,,0,0,https://www.basketball-reference.com/players/a/adebaba01.html
2007-08,22,DET,NBA,SG,12,84,.389,18.3,,.889,.056,.056,.111,.667,.111,,.438,1.000,.000,.500,.417,.000,,1.000,,,.000,0,,.000,,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,4,66,.476,16.1,,.524,.238,.048,.048,.190,.476,,.727,.600,1.000,1.000,.750,.200,,.750,1.000,,.000,0,,.900,.222,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,6,120,.625,12.6,,.563,.344,.156,.031,.031,.438,,.778,1.000,.600,.000,.000,.429,,.571,1.000,,.000,0,,.786,.455,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,3,85,.353,14.2,,.647,.265,.118,.147,.118,.353,,.409,.444,.250,.200,.750,.250,,.333,1.000,,.000,0,,.250,.333,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,7,229,.405,13.5,,.730,.216,.230,.081,.203,.270,,.481,.625,.529,.333,.333,.200,,.654,1.000,,.000,0,,.350,.286,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,3,60,.167,14.0,,.667,.083,.417,.083,.083,.333,,.125,.000,.200,.000,.000,.250,,1.000,1.000,,.000,0,,1.000,.250,,0,0,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,3,24,.556,19.6,,.667,.111,.000,.000,.556,.333,,.500,1.000,,,.400,.667,,.333,.500,,.000,0,,.333,1.000,,0,0,https://www.basketball-reference.com/players/a/agerma01.html
2011-12,27,UTA,NBA,PG,3,8,.667,14.7,,.667,.333,.000,.000,.333,.333,,.500,.000,,,1.000,1.000,,1.000,1.000,,.000,0,,.000,,,0,0,https://www.basketball-reference.com/players/a/ahearbl01.html
2014-15,26,NOP,NBA,C,3,10,1.000,7.5,,1.000,.000,.750,.250,.000,.000,,1.000,,1.000,1.000,,,,.750,,,.000,0,,,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2011-12,23,OKC,NBA,C,5,25,.444,2.9,,1.000,.667,.333,.000,.000,.000,,.444,.500,.333,,,,,.250,,,.222,2,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,6,77,.667,4.3,,1.000,.333,.667,.000,.000,.000,,.667,.800,.600,,,,,.700,,,.000,0,,,,,0,0,https://www.basketball-reference.com/players/a/aldrico01.html
2008-09,23,POR,NBA,PF,6,237,.490,14.3,,.962,.125,.163,.288,.385,.038,,.500,.846,.353,.533,.425,.250,,.540,1.000,,.077,8,,.250,.000,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2009-10,24,POR,NBA,PF,6,229,.430,13.3,,.978,.183,.108,.204,.484,.022,,.429,.882,.400,.579,.200,.500,,.641,1.000,,.065,6,,.500,1.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,6,258,.461,10.0,,1.000,.243,.261,.226,.270,.000,,.461,.714,.333,.462,.355,,,.604,,,.087,10,,,,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,11,441,.452,10.7,,.988,.268,.180,.236,.304,.012,,.449,.627,.356,.407,.382,.667,,.459,.500,,.028,5,,.333,1.000,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,5,208,.330,10.4,,.902,.339,.143,.223,.196,.098,,.337,.500,.188,.240,.273,.273,,.294,1.000,,.018,2,,.182,.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,10,337,.521,10.3,,.988,.254,.201,.308,.225,.012,,.515,.512,.559,.481,.526,1.000,,.523,1.000,,.012,2,,.500,1.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,16,537,.458,10.7,,.942,.267,.196,.238,.238,.058,,.478,.719,.489,.368,.316,.143,,.537,1.000,,.063,12,,.500,.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,5,177,.463,9.3,,.938,.213,.275,.300,.150,.063,,.453,.824,.318,.375,.333,.600,,.588,.667,,.013,1,,.200,1.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,7,244,.455,10.5,,.909,.273,.207,.281,.149,.091,,.473,.636,.520,.294,.444,.273,,.596,1.000,,.066,6,,.545,.333,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,23,UTA,NBA,SG,2,14,.286,12.7,,.571,.429,.143,.000,.000,.429,,.500,.333,1.000,,,.000,,.000,,,.000,0,,.333,.000,,0,0,https://www.basketball-reference.com/players/a/allengr01.html
2018-19,20,BRK,NBA,C,5,110,.594,2.0,,1.000,.813,.188,.000,.000,.000,,.594,.692,.167,,,,,.842,,,.469,12,,,,,0,0,https://www.basketball-reference.com/players/a/allenja01.html
